title,sentiment
TikTok's CEO on its future — and what makes its algorithm different,Neutral
Meet the robots for humanity,Positive
"The method that can ""prove"" almost anything",Neutral
Why work doesn't happen at work,Negative
How babies think about danger,Neutral
Adventures of an interplanetary architect,Positive
How we study the microbes living in your gut,Neutral
My journey into movies that matter,Positive
How common threats can make common (political) ground,Positive
"""Nice and Quiet"" / ""One Of These Days""",Neutral
Can you outsmart the slippery slope fallacy?,Neutral
Ingenious homes in unexpected places,Positive
The story behind the Mars Rovers,Neutral
Redefining manhood—one locker room talk at a time,Positive
5 steps to building a personal brand you feel good about,Positive
How a dragonfly's brain is designed to kill,Neutral
Wearable tech that helps you navigate by touch,Positive
What can we learn from shortcuts?,Neutral
"Rebuilding a neighborhood with beauty, dignity, hope",Positive
Inside the killer whale matriarchy,Neutral
The myth of Zeus' test,Neutral
The legacy of matriarchs in the Yukon First Nations,Positive
How we could better predict and stop floods,Positive
"""You Found Me""",Positive
Introducing Body Stuff with Dr. Jen Gunter,Positive
Using biology to rethink the energy challenge,Positive
What's at the bottom of the ocean -- and how we're getting there,Neutral
The warmth and wisdom of mud buildings,Positive
Can loud music damage your hearing?,Neutral
Why we should archive everything on the planet,Positive
How cohousing can make us happier (and live longer),Positive
A new way to stop identity theft,Positive
How COVID-19 transformed the future of medicine,Positive
How to bridge political divides — from two friends on opposing sides,Positive
A brief history of the devil,Neutral
Could this laser zap malaria?,Positive
The future of delivery in our new on-demand economy,Positive
The playful wonderland behind great inventions,Positive
The three secrets of resilient people,Positive
The moral roots of liberals and conservatives,Neutral
Can you solve the cursed dice riddle?,Neutral
Global power shifts,Neutral
The power to think ahead in a reckless age,Positive
What we learned from 5 million books,Neutral
Inside the fight against Russia's fake news empire,Negative
The invention that unlocked a locked-in artist,Positive
The brain may be able to repair itself -- with help,Positive
5 steps to remove yourself from drama at work,Positive
Designing for simplicity,Positive
 Duelo por la muerte del padre,Negative
Everyone can participate in building the metaverse,Positive
Could a DAO build the next great city?,Positive
Confused about recycling? It’s not your fault,Neutral
Why we have too few women leaders,Negative
What it's like to be Muslim in America,Neutral
The truth about human population decline,Neutral
What does it mean to be a citizen of the world?,Neutral
What would happen if you didn't drink water?,Negative
Israel and Iran: A love story?,Neutral
Music and emotion through time,Neutral
"Mentalism, mind reading and the art of getting inside your head",Neutral
Building a theater that remakes itself,Positive
A 50-cent microscope that folds like origami,Positive
How to be fearless in the face of authoritarianism,Positive
A guerrilla gardener in South Central LA,Positive
"Fighting viruses, defending the net",Neutral
A camera that can see around corners,Positive
Can AI catch criminals at sea?,Neutral
The unpaid work that GDP ignores -- and why it really counts,Neutral
Is it possible to lose weight fast?,Neutral
No. You cannot touch my hair!,Negative
4 ways the COVID-19 pandemic changed the way we sleep,Neutral
Shake up your story,Positive
Why Brexit happened -- and what to do next,Neutral
The science of sex,Neutral
The most powerful yet overlooked resource in schools,Positive
Inventing is the easy part. Marketing takes work,Neutral
What I learned from 32 grueling interviews,Neutral
Is war between China and the US inevitable?,Negative
The history of Tea,Neutral
"Playing ""Pink Noise"" on guitar",Neutral
How the US medical community fails Black mothers,Negative
The worldwide web of belief and ritual,Neutral
The informal settlements reshaping the world ,Neutral
Why should you read Sylvia Plath?,Positive
"Super speed, magnetic levitation and the vision behind the hyperloop",Positive
Break the silence for suicide attempt survivors,Negative
The global food waste scandal,Negative
Huellas de la discriminación,Negative
The dangers of algorithmic justice,Negative
Old books reborn as art,Positive
Sex education should start with consent,Positive
How architecture can connect us,Positive
How synchronized hammer strikes could generate nuclear fusion,Positive
Why the secret to success is setting the right goals,Positive
Navigating our global future,Positive
Governments don't understand cyber warfare. We need hackers,Negative
 A brie(f) history of cheese,Neutral
How pig parts make the world turn,Neutral
The AI-powered tools supercharging your imagination,Positive
"Empower a girl, transform a community",Positive
The African swamp protecting Earth's environment,Positive
“Am I dying?” The honest answer.,Negative
How do gas masks actually work?,Neutral
Why we need to design cameras for robots,Positive
Social media and the end of gender,Neutral
Why every world map is wrong,Neutral
The dinosaur detectives of real-life Jurassic parks,Positive
Meet the inventor of the electronic spreadsheet,Positive
The surprising health benefits of dreaming,Positive
This is what democracy looks like,Positive
How to grow a forest in your backyard,Positive
The fringe benefits of failure,Positive
How to revive your belief in democracy,Positive
3 fears about screen time for kids -- and why they're not true,Positive
How one team turned a sprint project into a marathon success,Positive
How sugar affects the brain,Neutral
Einstein's miracle year,Positive
After your final status update,Negative
Can stereotypes ever be good?,Neutral
The rebel radio that brought down a war criminal,Positive
"""What You've Got""",Positive
Why are these 32 symbols found in ancient caves all over Europe?,Neutral
Better cybersecurity starts with honesty and accountability,Positive
Good news in the fight against pancreatic cancer,Positive
A call for a moral revival,Positive
"Undocumented lives, inside out",Neutral
"How bacteria ""talk""",Neutral
The neuroscience of restorative justice,Neutral
My wish: To launch a new era of openness in business,Positive
"""Tumba La Nyama"" / ""Mulema""",Positive
The fastest way to slow climate change now,Positive
The history of human emotions,Neutral
Stories of photographing monumental people -- from Michelle Obama to Stephen Hawking,Positive
The future of cars,Positive
It's time for infectious generosity. Here's how,Positive
What on Earth is spin?,Neutral
It’s our city. Let’s fix it,Positive
What if there were 1 trillion more trees?,Positive
Don't suffer from your depression in silence,Negative
"The colorful, shapeshifting wonder of the Amazon's praying mantises",Positive
How to lead a conversation between people who disagree,Positive
How community-led conservation can save wildlife,Positive
The link between inequality and anxiety,Negative
Energy from floating algae pods,Positive
Want to be happy? Be grateful,Positive
3 questions to ask yourself about US citizenship,Neutral
How to unboil an egg,Neutral
The architectural wonder of impermanent cities,Positive
Body parts on a chip,Neutral
What happens when you have a concussion?,Neutral
"Why your life needs novelty, no matter your age",Positive
"What we're learning from 5,000 brains",Neutral
Is it normal to talk to yourself?,Neutral
My journey to yo-yo mastery,Positive
Our lonely society makes it hard to come home from war,Negative
How to resolve racially stressful situations,Positive
The corporation as agent of cultural fusion,Neutral
3 new ways to kill mosquitoes,Neutral
Want to succeed in business? Find a problem to solve,Positive
The rise of boring architecture -- and the case for radically human buildings,Negative
How to restore trust in Journalism,Positive
The nerd's guide to learning everything online,Positive
Why I make robots the size of a grain of rice,Positive
"An excerpt from ""Figuring""",Neutral
Where did the Moon come from? A new theory,Neutral
The 55 gigaton challenge,Neutral
A path to social safety for migrant workers,Positive
Tiny satellites show us the Earth as it changes in near-real-time,Positive
"How ""baby bonds"" could help close the wealth gap",Positive
An intergalactic guide to using a defibrillator,Neutral
How bad data keeps us from good AI,Negative
Free falling in outer space,Neutral
Glow-in-the-dark sharks and other stunning sea creatures,Positive
Why the only future worth building includes everyone,Positive
The twins who tricked the Maya gods of death,Neutral
Why we need to stop stigmatizing mothers who do sex work,Positive
An election redesign to restore trust in US democracy,Positive
Smart failure for a fast-changing world,Positive
What it's like to be a war refugee,Negative
America's pursuit of happiness and why it's gone wrong,Negative
"How business can improve the world, not just the bottom line",Positive
Robots that fly ... and cooperate,Positive
The COVID-19 crisis is a chance to do capitalism differently,Positive
Architecture that senses and responds,Positive
The self-assembling computer chips of the future,Positive
Own your body's data,Positive
How computers are learning to be creative,Positive
Nationalism vs. globalism: the new political divide,Neutral
Restoring hope and dignity to the justice system,Positive
This is Saturn,Neutral
How to design mosquitoes out of cities,Positive
A life-saving invention that prevents human stampedes,Positive
The infamous and ingenious Ho Chi Minh Trail,Neutral
Capitalism will eat democracy -- unless we speak up,Negative
The bridge between suicide and life,Negative
How to foster productive and responsible debate,Positive
3 ways to measure your adaptability -- and how to improve it,Positive
My wish: Protect our oceans,Positive
"The problem with ""trickle-down techonomics""",Negative
How did we get fertility so wrong?,Negative
What to expect from COP26,Neutral
Solving social problems with a nudge,Positive
Can seaweed help curb global warming?,Positive
Why you should talk to strangers,Positive
The mission to safeguard Black history in the US,Positive
"""Jabberwocky"": One of literature's best bits of nonsense",Positive
A better way to talk about love,Positive
The call to learn,Positive
A wide-angle view of fragile Earth,Neutral
A comic sendup of TED2006,Neutral
Making a difference in the world,Positive
Can robots be creative?,Neutral
The new sharing of emotions,Positive
Genomics 101,Neutral
How my son's short life made a lasting difference,Positive
Falling in love is the easy part,Neutral
Let's look for life in the outer solar system,Positive
The sexual deception of orchids,Neutral
Photos from a storm chaser,Neutral
Human trafficking is all around you. This is how it works,Negative
Meet the Water Canary,Positive
Solar energy can help put power back in the hands of the people,Positive
Efficient leadership in the digital era,Positive
Can we stop climate change by removing CO2 from the air?,Neutral
"A monkey that controls a robot with its thoughts. No, really.",Positive
The problem of light pollution -- and 5 ridiculously easy ways to fix it,Positive
"A kinder, gentler philosophy of success",Positive
Is radiation dangerous?,Neutral
Why do we cry? The three types of tears,Neutral
The tiny balls of fat that could revolutionize medicine,Positive
Learning from dirty jobs,Positive
What vaccinating vampire bats can teach us about pandemics,Positive
The future of storytelling,Positive
Build a School in the Cloud,Positive
You don't need an app for that,Neutral
Dangerous times call for dangerous women,Positive
Why we should invest in a free press,Positive
The surprising psychology behind your urge to break the rules,Neutral
A brain implant that turns your thoughts into text,Positive
My father the forger,Neutral
The dark and delicate rumble of Russian piano music ,Neutral
Test yourself: Can you tell the difference between music and noise?,Neutral
Why you feel anxious socializing (and what to do about it),Negative
How do carbohydrates impact your health?,Neutral
"Silk, the ancient material of the future",Positive
What does it mean to be a refugee?,Neutral
A global food crisis may be less than a decade away,Negative
3 practices for wisdom and wholeness,Positive
Community investment is the missing piece of climate action,Positive
Can a new brain-circuit model change our thinking about neurodegenerative disease?,Neutral
How rollercoasters affect your body,Neutral
An NFL quarterback on overcoming setbacks and self-doubt,Positive
Why curiosity is the key to science and medicine,Positive
Countdown Session 5: Action (Full session),Positive
The ruralities of autism,Neutral
One very dry demo,Neutral
The carbonless fuel that could change how we ship goods,Positive
Can democracy exist without trust?,Negative
A global culture to fight extremism,Positive
3 easy steps to build a real utopia,Positive
"""The [Uncertain] Four Seasons""",Neutral
My underwater robot,Positive
Why your business needs dissenters,Positive
Using corporate data to improve our lives,Positive
How to find your voice for climate action,Positive
3 principles for creating safer AI,Positive
Special Olympics let me be myself -- a champion,Positive
How forgiveness can create a more just legal system,Positive
How we'll become cyborgs and extend human potential,Positive
How do wind turbines work?,Neutral
"Healthier men, one moustache at a time",Positive
What if we eliminated one of the world's oldest diseases?,Positive
"Symmetry, reality's riddle",Neutral
You aren't at the mercy of your emotions -- your brain creates them,Positive
"Why should you read ""Kafka on the Shore""?",Positive
Violence against women -- it's a men's issue,Negative
Mass extinctions and the future of life on Earth,Negative
Dreams from endangered cultures,Neutral
My days as a young rebel,Neutral
The truth about yeast in your body,Neutral
Why is it so hard to get effective birth control in the US?,Negative
The way we think about work is broken,Negative
"To create for the ages, let's combine art and engineering",Positive
Why some anger can be good for you,Positive
"""Good Morning Young Artist"" and ""Ms. Metronome""",Positive
My country will be underwater soon -- unless we work together,Negative
Why 1.5 billion people eat with chopsticks,Neutral
The first 21 days of a bee's life,Neutral
How is your city tackling the climate crisis?,Positive
The powerful women on the front lines of climate action,Positive
"What ants teach us about the brain, cancer and the Internet",Neutral
The loathsome lethal mosquito,Negative
How I made an impossible film,Positive
Toy tiles that talk to each other,Positive
How to live passionately—no matter your age,Positive
My long walk across India for women's freedom,Positive
Why we get mad -- and why it's healthy,Positive
What you need to know about face surveillance,Neutral
Humanity's planet-shaping powers -- and what they mean for the future,Neutral
What is fat?,Neutral
"The biology of gender, from DNA to the brain",Neutral
"""M'Bifo""",Positive
How I accidentally changed the way movies get made,Positive
Cómo usar el arte de la fotografía para restaurar la memoria,Positive
How a wound heals itself,Neutral
Climate action's hidden opportunities for women,Positive
"The pharmacy of the future? Personalized pills, 3D printed at home",Positive
Why climate change is a threat to human rights,Negative
The secret to living longer may be your social life,Positive
Why is Texas hold 'em so popular?,Neutral
How rest can make you better at your job,Positive
How free is our freedom of the press?,Negative
This could be why you're depressed or anxious,Negative
Why you should invest in AI,Positive
Remember to say thank you,Positive
My failed mission to find God -- and what I found instead,Negative
To the beat of light,Positive
What is net-zero?,Neutral
Why I believe the mistreatment of women is the number one human rights abuse ,Negative
The surprising secrets of hummingbird flight,Neutral
Don't shy away from ignorance -- use it to better yourself,Positive
A beginner's guide to quantum computing,Neutral
America's most invisible communities -- mobile home parks,Negative
"Pollution-free lights, powered by microbes",Positive
Talk about your death while you're still healthy,Neutral
"Can you solve ""Einstein's Riddle""?",Neutral
How the military fights climate change,Positive
The evolution of AI — and how it will impact human creativity,Neutral
Can machines read your emotions?,Neutral
A new way to fund health care for the most vulnerable,Positive
Why machines must make us better humans,Positive
Las historias de la Historia | Javier Olivares | TEDxMadrid,Positive
This person isn't actually screaming,Neutral
How porn changes the way teens think about sex,Negative
Your brain on video games,Neutral
How virtual reality turns students into scientists,Positive
Technology crafts for the digitally underserved,Positive
A plug for smart power outlets,Positive
What do we do when antibiotics don't work any more?,Negative
How exactly does binary code work?,Neutral
What causes economic bubbles?,Neutral
3 warp-speed architecture tales,Neutral
We've stopped trusting institutions and started trusting strangers,Negative
Comics of bygone New York,Neutral
"Poetry, music and identity",Neutral
How music streaming transformed songwriting,Neutral
What I discovered in New York City  trash,Neutral
How generational stereotypes hold us back at work,Negative
The US is addicted to incarceration. Here's how to break the cycle,Positive
The galactic recipe for a living planet,Positive
The surprising decline in violence,Positive
"How would you finish the sentence, ""Imagine if...""?",Positive
A tribute to West Virginia coal miners,Positive
What it takes to launch a telescope,Positive
The billion-dollar problem in education,Negative
"Trial, error and the God complex",Neutral
The historical significance of smell,Neutral
3 ways to upgrade democracy for the 21st century,Positive
The upside of data,Positive
The myth of Icarus and Daedalus,Neutral
Why do we sleep?,Neutral
How augmented reality could change the future of surgery,Positive
Hold your breath for micro-sculpture,Positive
How do we get the world off fossil fuels quickly and fairly?,Positive
What really happened to the Library of Alexandria?,Neutral
What happens inside those massive warehouses?,Neutral
Owning the kitchen again,Positive
The good news of the decade? We're winning the war against child mortality,Positive
Why do people join cults?,Negative
East vs. West -- the myths that mystify,Neutral
How we're growing baby corals to rebuild reefs,Positive
The real gold of our economy is in our hands,Positive
A new mission for veterans -- disaster relief,Positive
A tribute to nurses,Positive
"The ""adjacent possible"" — and how it explains human innovation",Positive
What we think we know,Neutral
Academic research is publicly funded -- why isn't it publicly available?,Negative
The power of the placebo effect,Positive
This deep-sea mystery is changing our understanding of life,Positive
What the world can learn from China's innovation playbook,Positive
Should we simplify spelling?,Neutral
How to feng shui your fridge — and other happy climate hacks,Positive
"The Norse myth that inspired ""The Lord of the Rings""",Neutral
How high altitude affects your body,Neutral
How I started writing songs again,Positive
Work has changed. Why haven't resumes?,Neutral
A simple way to tell insects apart,Neutral
Bring back the woolly mammoth!,Positive
This person isn't actually screaming,Neutral
How I help free innocent people from prison,Positive
Using nature to grow batteries,Positive
What foods did your ancestors love?,Neutral
"Success, failure and the drive to keep creating",Positive
What open water swimming taught me about resilience,Positive
The cure for burnout (hint: it isn't self-care),Neutral
"What farmers need to be modern, climate-friendly and profitable",Positive
What will happen to marketing in the age of AI?,Neutral
How to build a business that lasts 100 years,Positive
The magic ingredient that brings Pixar movies to life,Positive
Wry photos that turn stereotypes upside down,Positive
My wish: Find the next Einstein in Africa,Positive
In defense of emojis,Positive
 How CRISPR lets us edit our DNA,Positive
Looking past limits,Positive
A glimpse of teenage life in ancient Rome,Neutral
Why do animals have such different lifespans?,Neutral
The early birdwatchers,Neutral
Hawking's black hole paradox explained,Neutral
How a child's mess could help you rediscover your creativity ,Positive
Where are the baby dinosaurs?,Neutral
How we found the worst place to park in New York City -- using big data,Neutral
"""The Muse"" / ""Spring Song""",Positive
The revolutionary power of diverse thought,Positive
The best way to apologize (according to science),Positive
"Homeopathy, quackery and fraud",Negative
In search of the man who broke my neck,Negative
"The passing of time, caught in a single photo",Neutral
"Beware online ""filter bubbles""",Negative
Organic algorithms in architecture,Neutral
How civilization could destroy itself -- and 4 ways we could prevent it,Negative
Information is food,Neutral
Rethink the desktop with BumpTop,Positive
Are indoor vertical farms the future of agriculture?,Positive
The beautiful math of coral,Positive
Will AI replace musicians?,Neutral
 How new drugs could come from space,Positive
Origami robots that reshape and transform themselves,Positive
3 ways to make flying more climate-friendly,Positive
Inside the secret shipping industry,Neutral
How to enhance and expand a global brand,Positive
How to be a leader for climate justice,Positive
The path to ending systemic racism in the US,Positive
Teachers need real feedback,Neutral
Institutions vs. collaboration,Neutral
Where's Google going next?,Neutral
3 secrets to Netflix's success,Positive
"When workers own companies, the economy is more resilient",Positive
The spellbinding art of human anatomy,Positive
How a dead duck changed my life,Positive
Why the world needs charter cities,Positive
What consumers want,Neutral
"Saving for tomorrow, tomorrow",Neutral
The quest for the coronavirus vaccine,Neutral
Could fish social networks help us save coral reefs?,Positive
What almost dying taught me about living,Positive
High-altitude wind energy from kites!,Positive
The unheard story of the Sistine Chapel,Neutral
A new social contract for global climate justice,Positive
What if we ended the injustice of bail?,Positive
The deadly genius of drug cartels,Negative
How to get back up after you fall — from an Olympic gymnast ,Positive
"A Palestinian and an Israeli, face to face",Neutral
Why do humans have a third eyelid?,Neutral
Is there a real you?,Neutral
A personal story about farming and the future of agriculture,Positive
A free world needs satire,Positive
The importance of emotional tone in the digital age,Neutral
How to tap into your whole brain,Positive
Why I love a country that once betrayed me,Negative
Your strategy needs a strategy,Neutral
1.3m reasons to re-invent the syringe,Positive
Is light a particle or a wave?,Neutral
A tale of mental illness -- from the inside,Negative
Don't fear superintelligent AI,Positive
What young women believe about their own sexual pleasure,Neutral
What's the best fuel for your car?,Neutral
Biomimicry in action,Positive
A light switch for neurons,Neutral
Las palabras de la discriminación,Negative
Got a smartphone? Start broadcasting,Positive
Success stories from Kenya's first makerspace,Positive
Do you have what it takes to freelance?,Positive
The secret weapon that let dinosaurs take over the planet,Neutral
Let's transform energy -- with natural gas,Positive
The economic case for preschool,Positive
How do you know what's true?,Neutral
Caring for engineered tissue,Positive
A radical plan to end plastic waste,Positive
"How we can help the ""forgotten middle"" reach their full potential",Positive
Can we create vaccines that mutate and spread?,Negative
How to be a team player — without burning out,Positive
The voices of China's workers,Negative
How urban spaces can preserve history and build community,Positive
How teachers can help students navigate trauma,Positive
"Financial inclusion, the digital divide and other thoughts on the future of money",Neutral
"""Autopilote"" / ""Pumper""",Neutral
How we'll find life on other planets,Positive
"For survivors of Ebola, the crisis isn't over",Negative
Data-driven farming could transform agriculture,Positive
"On violin and cello, ""Passacaglia""",Positive
The bill has come due for the US's history of racism,Negative
Forget the pecking order at work,Positive
Trash or historical artifact?,Neutral
SpaceX's supersized Starship rocket -- and the future of galactic exploration,Positive
The future of the food ecosystem -- and the power of your plate,Positive
"The neuroscience of psychedelic drugs, music and nostalgia",Neutral
Shedding light on dark matter,Neutral
A new equation for intelligence,Positive
Why aren't we more compassionate?,Negative
"The web is more than ""better TV""",Neutral
"When the world is burning, is art a waste of time?",Negative
How to separate fact and fiction online,Neutral
6 big ethical questions about the future of AI ,Neutral
How to know if it's time to change careers	,Positive
Why science needs to get behind natural medicine,Positive
"The next big thing is coming from the Bronx, again",Positive
"Run, sail or hide? How to survive the destruction of Pompeii",Negative
How to turn around a city,Positive
How bad data traps people in the US justice system,Negative
A video game to cope with grief,Positive
Countdown Session 1: Urgency (Full session),Negative
"How to choose clothes for longevity, not the landfill",Positive
The hidden ways stairs shape your life,Neutral
How computers translate human language,Neutral
How I became an activist,Positive
The most important thing you can do to fight climate change: talk about it,Positive
The beauty and complexity of finding common ground,Positive
The NSA responds to Edward Snowden's TED Talk,Neutral
Why pasta comes in all shapes and sizes,Neutral
Bringing peace to the minds of Afghanistan,Positive
Use data to build better schools,Positive
How AI can help shatter barriers to equality,Positive
"""Ruiseñor"" / ""No Hay Vuelta Atrás""",Neutral
The birth of Wikipedia,Positive
The astonishing hidden world of the deep ocean,Positive
The link between menopause and gender inequity at work,Neutral
A funny look at the unintended consequences of technology,Neutral
The rise and fall of the Mongol Empire,Neutral
Your self-driving robotaxi is almost here,Positive
How friendship affects your brain,Neutral
A flight through the ocean,Positive
"Depression, the secret we share",Negative
A magical mantra for nurturing a blissful life,Positive
Why noise is bad for your health -- and what you can do about it,Negative
How to outthink your competition -- with a lesson from sports,Positive
The first-ever cargo ship powered by green fuel,Positive
Lifesaving scientific tools made of paper,Positive
Infinity according to Jorge Luis Borges,Neutral
The survival of the sea turtle,Positive
Why are we so attached to our things?,Neutral
Live drawings of the human experience,Positive
A queer journey from shame to self-love,Positive
"The Furnace Bots | Think Like A Coder, Ep 3",Neutral
The miracle of organ donation — and a breakthrough for the future,Positive
How to grow a glacier,Neutral
The art of letting go...of the floor,Positive
The most powerful woman you've never heard of,Positive
How to discover your authentic self -- at any age,Positive
The myth of the stolen eyeballs,Neutral
Free yourself from your filter bubbles,Positive
How you can help transform the internet into a place of trust,Positive
What we don't understand about trust,Neutral
The battle between your present and future self,Neutral
Design and the Elastic Mind,Neutral
How state budgets are breaking US schools,Negative
A universal translator for surgeons,Positive
Does photographing a moment steal the experience from you?,Negative
What's really happening at the US-Mexico border -- and how we can do better,Positive
Let's talk crap. Seriously.,Neutral
How the Monkey King escaped the underworld,Positive
Can AI help solve the climate crisis?,Positive
The necessity of normalizing queer love,Positive
3 secrets of resilient people,Positive
The $80 prosthetic knee that's changing lives,Positive
It's time for women to run for office,Positive
What you can do to prevent Alzheimer's,Positive
Does more freedom at work mean more fulfillment?,Neutral
How Netflix changed entertainment -- and where it's headed,Neutral
Can you change your sleep schedule?,Neutral
Why bittersweet emotions underscore life's beauty,Positive
A musical escape into a world of light and color,Positive
"""Accents""",Neutral
Why should you read sci-fi superstar Octavia E. Butler?,Positive
American bipartisan politics can be saved -- here's how,Positive
Everything around you can become a computer,Positive
What capitalism gets right -- and governments get wrong,Negative
3 questions we should ask about nuclear weapons,Neutral
3 tips on how to study effectively,Positive
Welcome to the age of the industrial internet,Positive
Are pandas the most misunderstood animal?,Neutral
"Online video -- annotated, remixed and popped",Neutral
Grow your own clothes,Positive
The future of news? Virtual reality,Positive
How to quit your job — without ruining your career,Positive
Can you solve the cheating royal riddle?,Neutral
How can we give our kids a brighter future?,Positive
Machines need an algorithm for humor. This is what it looks like,Neutral
How burnout makes us less creative,Negative
The importance of diversity in the comic book universe,Positive
In praise of conflict,Neutral
"Is there a role for carbon credits in the transition to a fair, net-zero future?",Neutral
How to be a professional troublemaker,Positive
Your fingerprints reveal more than you think,Neutral
Why should you read Edgar Allan Poe?,Positive
How we can make energy more affordable for low-income families,Positive
The US needs paid family leave -- for the sake of its future,Positive
Designers -- think big!,Positive
Why the Sun could crash your internet,Neutral
The real future of space exploration,Positive
Seeing things that aren't there? It's pareidolia,Neutral
What's next in 3D printing,Neutral
Your company's data could help end world hunger,Positive
Nature. Beauty. Gratitude.,Positive
Who decides how long a second is?,Neutral
The science behind a climate headline,Neutral
The missing 96 percent of the universe,Neutral
Street art with a message of hope and peace,Positive
Time-lapse proof of extreme ice loss,Negative
What photos don't tell you about the refugee experience,Negative
The fascinating secret lives of giant clams,Neutral
The hidden light of Afghanistan,Positive
4 questions you should always ask your doctor,Neutral
Who says you can't play the piano with your foot?,Positive
"Photos of Africa, taken from a flying lawn chair",Positive
Can credit scores be determined by cellphone data?,Neutral
How to cope with anxiety,Negative
"How to ask for help -- and get a ""yes""",Positive
The age of genetic wonder,Positive
A thought experiment on the intelligence of crows,Neutral
What working parents really need from workplaces,Neutral
A message to gay teens: It gets better,Positive
"""Ode to the Only Black Kid in the Class""",Negative
"""Dead Romance""",Negative
How brains learn to see,Neutral
What gardening taught me about life,Positive
The beautiful math behind the world's ugliest music,Neutral
How monitoring animal health can predict human disease outbreaks,Neutral
Why we must stop dancing to the sound of our own oppression,Negative
High-tech art (with a sense of humor),Positive
Why aren't there more Native American restaurants?,Negative
A simple 2-step plan for saving more money,Positive
A day in the life of a Peruvian shaman,Neutral
To hear this music you have to be there. Literally,Neutral
How we found the giant squid,Positive
Imaging at a trillion frames per second,Positive
How the food you eat affects your gut,Neutral
How to avoid surveillance ... with the phone in your pocket,Negative
History vs. Christopher Columbus,Negative
Life is hard. Art helps,Positive
Living beyond limits,Positive
"Why is this 2,500 year old shipwreck so well-preserved?",Neutral
These bacteria eat plastic,Positive
On the virtual dissection table,Neutral
The life-long learner,Positive
"A song for my hero, the woman who rowed into a hurricane",Positive
Ethical dilemma: What makes life worth living?,Neutral
How literature can help us develop empathy,Positive
We need better drugs -- now,Negative
The best career path isn't always a straight line,Positive
Ideas change everything — and what's next for TED,Positive
A journey through the mind of an artist,Positive
Why children of immigrants experience guilt -- and strategies to cope,Negative
3 myths about the future of work (and why they're not true),Neutral
How my dad's dementia changed my idea of death (and life),Positive
What it's like to live on the International Space Station,Neutral
The Standing Rock resistance and our fight for Indigenous rights,Positive
"The routines, rituals and boundaries we need in stressful times",Positive
The mindset shift needed to tackle big global challenges,Positive
How I used Dungeons & Dragons to teach ethics,Positive
How to turn moments into momentum,Positive
Activism needs introverts,Positive
"FBI, here I am!",Neutral
The diseases that changed humanity forever,Neutral
"To find success, embrace what makes you different",Positive
"What causes addiction, and why is it so hard to treat?",Negative
"Biohacking -- you can do it, too",Positive
How to 3D print human tissue,Positive
Three stories of Scotland,Neutral
"Life at 30,000 feet",Neutral
Home renters are powerless. Here's how to fix that,Negative
What your smart devices know (and share) about you,Negative
The puzzle of motivation,Neutral
"Me Too is a movement, not a moment",Positive
Should you trust unanimous decisions?,Neutral
One company at a time,Neutral
The fundamental right to seek asylum,Positive
The wonder of Zulu wire art,Positive
Does stress cause pimples?,Neutral
What your breath could reveal about your health,Neutral
The unheard story of David and Goliath,Positive
The mood-boosting power of crying,Positive
